ID,Symbol,CC-1,CC-2,CC-3,C4-1,C4-2,C4-3,IG-1,IG-2,IG-3,Z1-1,Z1-2,Z1-3,Z2-1,Z2-2,Z2-3
O15050,TRANK1,61772.76562,,89550.28125,,,,,,,,,,,67340.3125,
O15066,KIF3B,11183.09766,18645.88281,15473.29688,13761.59766,12383.04688,10436.95801,,17455.98438,15417.66406,11854.6709,13387.7168,13692.83887,20459.57422,18057.57422,14260.51367
O15083,ERC2,54003.86328,22293.31836,56779.57031,55012.96484,30918.39062,38965.70703,47783.14844,52005.08594,52201.50391,39577.74219,34943.36719,20981.35938,45318.16797,37840.5,46759.04688
O15091,PRORP,,18632.19953,,,13201.94721,23033.36133,12538.34725,,,22063.66406,9756.920945,22377.58398,12397.42447,17811.47453,14958.89345
O15119,TBX3,,2491.434082,,2626.121094,,,,,,7928.924316,9138.120117,3302.578613,2291.726074,,12403.37012
O15143,ARPC1B,9875.547526,24194.57441,14520.94372,11614.95782,33973.10566,43848.3945,5954.42097,,4806.390926,35708.5378,34874.90166,31357.62819,24441.92265,16928.86941,32183.45875
O15144,ARPC2,4534.462271,8650.667285,17776.93408,3905.953444,8664.168909,15896.89091,3338.483049,,1548.434098,13055.2666,10572.29588,6178.657164,2605.55006,5737.728287,6436.492626
O15145,ARPC3,36966.73335,47041.01796,40103.63699,41846.39726,67152.75493,61050.27193,20426.32992,,13690.44997,50789.59641,48782.44615,36945.34966,28443.04282,28437.66935,41871.04342
O15156,ZBTB7B,,5831.935547,,,3882.770752,,,,,2426.319824,7879.262695,3928.623291,,3488.183105,5554.914062
O15160,POLR1C,,6898.774037,,,4771.531765,9727.776712,2234.000275,,,11199.25587,13531.52358,19466.76281,4273.626756,8676.055984,17964.79325
O15164,TRIM24,3983.025873,6644.602455,3068.23792,9322.714844,7484.414377,15472.36511,,,,10166.73493,7464.724062,10914.10645,9271.991355,5686.609013,8411.701871
O15173,PGRMC2,2471.414062,3165.007568,7644.788086,3037.251953,4956.311523,7409.900391,,,,7771.045898,9248.836914,8219.371094,,3084.918457,2712.84668
O15213,WDR46,5840.844521,16497.48659,5437.130097,8805.034242,17644.46639,30019.28162,3349.013747,,,28349.34209,40252.20155,51355.61097,25125.60949,29889.59564,45768.16443
O15226,NKRF,9347.446018,14160.54793,5852.973416,9883.157426,15695.4092,24716.58581,,,,34652.45043,38383.48515,40202.55635,22187.73923,22654.03268,36054.75767
O15230,LAMA5,260880.2715,359171.4342,358339.6361,307145.7015,366927.1595,304823.9512,349542.5194,316126.0968,387143.4459,277836.2863,318075.9857,319697.2742,,323572.6209,354404.8265
O15231,ZNF185,13338.24558,27219.6191,23335.31513,7135.479503,24586.24535,16225.49979,2293.784013,1317.01932,1280.248295,23809.24797,20463.86622,18130.105,11256.69045,7522.498481,15544.32894
O15265,ATXN7,6359.442347,15483.49464,4887.427389,5011.981585,9990.579305,10686.09902,,,,10087.22967,9685.916677,6995.542461,11723.58769,9391.794125,16271.5772
O15294,OGT,7972.664062,15285.48244,7458.18659,6670.911416,20203.5102,13151.7804,,,,12848.31628,13423.40324,11952.28958,13713.30088,12642.04843,21329.85952
O15297,PPM1D,7737.397461,11507.61607,3557.703602,9653.855924,23483.95259,23623.4385,3356.70829,,,31784.98592,31300.37891,26272.94278,28943.95143,26142.32336,43099.50241
O15318,POLR3G,344643.1562,211859.6562,,,245075.7188,293693.75,257167,,,237100.1875,252599.5625,192973.4375,369082.3125,351622.25,222649.5625
O15347,HMGB3,85540.46094,127012.6406,63039.80102,82510.07669,148709.7048,207772.9375,14562.2563,,16844.80451,108003.0973,137196.25,138236.8779,149451.2656,199333.7344,239418.1345
O15350,TP73,1292.188268,,,,,,,,,3512.916482,5205.21673,1983.210756,4931.463714,3481.231171,9747.183577
O15371,EIF3D,6336.448136,17175.98868,6243.736399,,5606.246839,3507.304524,,,,11104.96147,,4185.20003,,,4303.682075
O15372,EIF3H,2952.437988,1613.036987,5542.693359,,4038.741455,1183.644897,,,,4147.004395,2239.339844,,2508.697266,,1831.623047
O15379,HDAC3,,1046.55835,,,,,,,,1849.333862,8256.477539,3295.109863,3531.894531,2438.648926,6367.879883
O15381,NVL,,5860.594338,,2847.958012,,12505.47754,,,,7001.754807,9002.419783,9996.282817,3112.443146,5332.150669,13220.55305
O15391,YY2,,57953.84766,14277.2041,48418.16797,47117.48047,34241.0625,4368.402832,,,42406.19141,,47829.17969,,60305.91406,129612.5859
